parent,name,rate
Papa,Sofia,7
Papa,Giulia,7
Papa,Alice,4
Papa,Aurora,5
Papa,Ginevra,4
Papa,Emma,6
Papa,Giorgia,4
Papa,Greta,3
Papa,Martina,5
Papa,Beatrice,4
Papa,Anna,8
Papa,Chiara,8
Papa,Sara,6
Papa,Nicole,6
Papa,Ludovica,4
Papa,Gaia,8
Papa,Matilde,3
Papa,Vittoria,7
Papa,Noemi,2
Papa,Francesca,4
Papa,Alessia,5
Papa,Camilla,7
Papa,Bianca,5
Papa,Arianna,6
Papa,Rebecca,3
Papa,Elena,2
Papa,Viola,2
Papa,Mia,8
Papa,Elisa,7
Papa,Giada,6
Papa,Adele,4
Papa,Marta,5
Papa,Gioia,6
Papa,Asia,5
Papa,Maria,5
Papa,Isabel,6
Papa,Melissa,5
Papa,Carlotta,4
Papa,Eleonora,4
Papa,Miriam,6
Papa,Emily,7
Papa,Irene,3
Papa,Margherita,4
Papa,Anita,8
Papa,Benedetta,5
Papa,Caterina,2
Papa,Azzurra,1
Papa,Eva,7
Papa,Rachele,4
Papa,Cecilia,3
Papa,Maya,9
Papa,Simona,4
Papa,Zoe,5
Papa,Cloe,2
Papa,Denise,2
Papa,Amelia,6
Papa,Marika,3
Papa,Valentina,1
Papa,Desiree,1
Papa,Serena,7
Papa,Federica,6
Papa,Stefania,4
Papa,Antonella,4
Papa,Vida,4
Papa,Frida,3
Papa,Luisa,6
Papa,Monica,5
Papa,Isabella,8
Papa,Ondina,2
Papa,Petra,2
Papa,Frida,1
Papa,Penelope,3
Papa,Dafne,2
Papa,Violante,1
Papa,Guendalina,1
Papa,Delfina,0
Papa,Elettra,1
Papa,Miranda,1
Papa,Alma,2
Papa,Bice,0
Papa,Ada,2
Papa,Egle,0
Papa,Febe,2
Papa,Ida,2
Papa,India,2
Papa,Iris,5
Papa,Lea,8
Papa,Nives,1
Papa,Elvira,2
Papa,Rita,6
Papa,Irma,2
Papa,Vanda,2
Papa,Adalgisa,4
Papa,Amelia,6
Papa,Iole,2
Papa,Serafina,5
Papa,Evelina,4
Papa,Antonia,5
Papa,Soraya,2
Papa,Jasmine,7
Papa,Zahra,2
Papa,Sharon,4
Papa,Guadalupe,4
Papa,Sawana,6
Papa,Lilibeth,7
Papa,Amabel,5
Papa,Fleur,2
Papa,Hester,1
Papa,Alesia,5
Papa,Betta,4
Papa,Bice,1
Papa,Cesira,2
Papa,Clara,5
Papa,Fabiola,5
Papa,Fabrizia,3
Papa,Giuditta,3
Papa,Lena,2
Papa,Nina,7
Papa,Aria,5
Papa,Ava,5
Papa,Elena,2
Papa,Eliana,3
Papa,Ella,6
Papa,Emilia,6
Papa,Evelyn,5
Papa,Luna,5
Papa,Dariya,6
Papa,Ilaria,6
Papa,Michela,9
